,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@BillyM2k yeah,6378,239,2023-01-22 11:40:09+00:00
1,elonmusk,@cb_doge Busted,34774,940,2023-01-22 10:42:04+00:00
2,elonmusk,@alx !!,7039,406,2023-01-22 10:31:10+00:00
3,elonmusk,@BillyM2k One of my favorite features,1432,123,2023-01-22 10:30:07+00:00
4,elonmusk,@WholeMarsBlog Probably a good idea,1011,65,2023-01-22 10:21:20+00:00
5,elonmusk,@TheRabbitHole84 !!,2592,230,2023-01-22 04:35:01+00:00
6,elonmusk,@BillFOXLA @FoxNews Where have they *not* found classified documents? That might be a shorter list.,83076,9024,2023-01-22 02:30:29+00:00
7,elonmusk,@DrNickA True,17107,832,2023-01-22 00:26:55+00:00
8,elonmusk,@ashleevance https://t.co/5wtmeY5oQn,15067,507,2023-01-22 00:09:28+00:00
9,elonmusk,"@WallStreetSilv @CommunityNotes We are going to great lengths to avoid the Wikipedia left wing editorial control problem. By the same token, Community Notes cannot be biased towards the right either. Maximizing for truth is the goal.",8722,799,2023-01-22 00:06:35+00:00
10,elonmusk,@JonErlichman Always liked that design,58244,1635,2023-01-22 00:01:08+00:00
11,elonmusk,@ahmadtariq07 @Fidias0 True,10081,140,2023-01-21 22:50:41+00:00
12,elonmusk,🤗 https://t.co/9q0ZOUa1ZY,103759,6398,2023-01-21 22:49:04+00:00
13,elonmusk,@jgebbia 🤣,3493,125,2023-01-21 22:46:36+00:00
14,elonmusk,@WallStreetSilv @dogeofficialceo @TheRabbitHole84 @WholeMarsBlog @BillyM2k lmao,4724,268,2023-01-21 19:28:56+00:00
15,elonmusk,"@tyromper Yeah, we’re thinking hard about this",4118,204,2023-01-21 18:28:19+00:00
16,elonmusk,@PeterDiamandis Absolutely. Freedom means freedom to die when you are sure that you want to.,48170,3104,2023-01-21 18:09:15+00:00
17,elonmusk,@TheRabbitHole84 Notes must stay pure.,2469,123,2023-01-21 18:07:38+00:00
18,elonmusk,@ScottAdamsSays @Dilbert_Daily 🤣,5419,239,2023-01-21 18:05:20+00:00
19,elonmusk,@giano That’s the plan!,6824,264,2023-01-21 17:54:43+00:00
20,elonmusk,@TheRabbitHole84 Maybe there’s a way to do this by placing an ad below tweet details,2889,154,2023-01-21 17:51:04+00:00
21,elonmusk,"Also, there will be a higher priced subscription that allows zero ads",48182,2750,2023-01-21 17:49:22+00:00
22,elonmusk,Ads are too frequent on Twitter and too big. Taking steps to address both in coming weeks.,204332,12681,2023-01-21 17:41:22+00:00
23,elonmusk,@Austen 🤣,7330,210,2023-01-21 17:39:41+00:00
24,elonmusk,"@CollinRugg That is a little delayed, as a key researcher can only travel to Twitter in early Feb",24390,2067,2023-01-21 17:35:01+00:00
25,elonmusk,Je me souviens Pluto 🥹,136500,8009,2023-01-21 09:07:40+00:00
26,elonmusk,@OzraeliAvi Twitter is the source of truth,199322,18725,2023-01-21 08:25:50+00:00
27,elonmusk,@DexterWWinters @ScottAdamsSays Was required to visit Tesla Giga Berlin. Not my choice.,5621,671,2023-01-21 07:59:05+00:00
28,elonmusk,"@unusual_whales The note is incorrect. There are ~2300 active, working employees at Twitter.

There are still hundreds of employees working on trust &amp; safety, along with several thousand contractors. 

Less than 10 people from my other companies are working at Twitter.",23792,1945,2023-01-21 07:57:28+00:00
29,elonmusk,"@peters8620 @stillgray @ScottAdamsSays I had OG C19 before vaccines came out and it was basically a mild cold.

Then had J&amp;J vaccine with no bad effects, except my arm hurt briefly.

First mRNA booster was ok, but the second one crushed me.",11081,2498,2023-01-21 07:53:26+00:00
30,elonmusk,"@ScottAdamsSays And my cousin, who is young &amp; in peak health, had a serious case of myocarditis. Had to go to the hospital.",37045,8588,2023-01-21 07:39:12+00:00
31,elonmusk,@unusual_whales @BillyM2k Yes,3597,144,2023-01-21 07:26:51+00:00
32,elonmusk,"@ScottAdamsSays I had major side effects from my second booster shot. Felt like I was dying for several days. Hopefully, no permanent damage, but I dunno.",138755,22855,2023-01-21 07:22:02+00:00
33,elonmusk,@CommunityNotes Extremely important,2939,165,2023-01-21 07:19:35+00:00
34,elonmusk,@BillyM2k 🤣🤣,5008,197,2023-01-21 07:18:37+00:00
35,elonmusk,@BillyM2k @joshzepps Sigh … I hope Sam becomes his old super rational self again one day,6550,314,2023-01-21 07:18:02+00:00
36,elonmusk,@slashdot Cool,7551,342,2023-01-21 07:02:40+00:00
37,elonmusk,@LayahHeilpern Interesting &amp; entertaining content from around the world is worth seeing,8989,413,2023-01-21 07:00:34+00:00
38,elonmusk,@WorldAndScience 🤣 yeah,1600,68,2023-01-21 06:46:49+00:00
39,elonmusk,@stats_feed Wow,29699,1032,2023-01-21 06:42:57+00:00
40,elonmusk,"@lexfridman Two of the worst possible curses:
- You will live forever
- You can have anything you want",51198,4817,2023-01-21 05:47:36+00:00
41,elonmusk,@WholeMarsBlog Cool,12859,435,2023-01-21 05:18:47+00:00
42,elonmusk,"@TheRightMelissa Back then, George Washington was the “old guy” at age 44!",63895,3213,2023-01-21 03:18:35+00:00
43,elonmusk,"@EvaFoxU @BillyM2k Japan has higher total user-minutes than the USA, so Japan is actually #1",5557,961,2023-01-21 03:16:04+00:00
44,elonmusk,@teslaownersSV I’m reviewing it next week for possible release,3220,216,2023-01-21 03:13:31+00:00
45,elonmusk,@TimRunsHisMouth Good question,21263,1316,2023-01-21 00:50:16+00:00
46,elonmusk,(Tweets will be translated before being recommended),48365,2715,2023-01-21 00:40:35+00:00
47,elonmusk,@vastblastx Coming feature,3384,165,2023-01-21 00:37:50+00:00
48,elonmusk,There are epic tweets in other countries every day (Japan especially),70122,6817,2023-01-21 00:35:56+00:00
49,elonmusk,"Next Twitter update will remember whether you were on For You (ie recommended), Following or list you made &amp; stop switching you back to recommended tweets",69158,6197,2023-01-21 00:31:38+00:00
50,elonmusk,@cb_doge @APompliano The debt trend is 🤯🤯,3260,259,2023-01-21 00:27:49+00:00
51,elonmusk,"@APompliano More than triple that when you add social security, Medicare &amp; govt pension obligations",37172,2859,2023-01-21 00:26:21+00:00
52,elonmusk,@AdamShawNY Wow,5165,294,2023-01-21 00:22:40+00:00
53,elonmusk,@TaraBull808 Or spending too much time on social media,8711,446,2023-01-21 00:19:14+00:00
54,elonmusk,"In coming months, Twitter will translate &amp; recommend amazing tweets from people in other countries &amp; cultures",272613,24078,2023-01-21 00:18:21+00:00
55,elonmusk,@ryan_pickering_ @welt !!,1367,95,2023-01-21 00:14:10+00:00
56,elonmusk,@rustyrockets @AndrewLawton 🤣,2643,134,2023-01-20 23:43:24+00:00
57,elonmusk,"Exactly! If companies post interesting or entertaining content, they will gain an audience rapidly. https://t.co/0leAmqueHM",30431,2858,2023-01-20 23:23:17+00:00
58,elonmusk,"@DavidSacks I am super pro Ukraine, but relentless escalation is very risky for Ukraine and the world",55342,3886,2023-01-20 23:00:47+00:00
59,elonmusk,@ezralevant Power to the people!,49999,4481,2023-01-20 22:56:43+00:00
60,elonmusk,@teslaownersSV 99% of people still have no idea how profound this is,23259,1070,2023-01-20 22:55:23+00:00
61,elonmusk,"@WallStreetSilv Macron is doing the difficult, but right thing. The retirement age of 62 was set when lifespans were much shorter. It is impossible for a small number of workers to support a massive number of retirees.",89923,5253,2023-01-20 22:50:23+00:00
62,elonmusk,@proetrie 🤣,5479,152,2023-01-20 22:44:23+00:00
